IDH
PaísesIDHRanking IDHVar.
"España [+]0,90425º0"
"Honduras [+]0,634132º0"
"Croacia [+]0,85143º-1"
"Haiti [+]0,510170º0"
"Hungría [+]0,85440º-2"
"Indonesia [+]0,718107º-3"
"Irlanda [+]0,9552º-1"
"Israel [+]0,91919º-2"
"India [+]0,645131º0"
"Irak [+]0,674123º0"
"Irán [+]0,78370º0"
"Islandia [+]0,9494º0"
"Jamaica [+]0,734101º3"
"Jordania [+]0,729102º-1"
"Kenia [+]0,601143º2"
"Kirguistán [+]0,697120º0"
"Camboya [+]0,594144º0"
"Kiribati [+]0,630134º1"
"Comoras [+]0,554156º2"
"San Cristóbal y Nieves [+]0,77974º-2"
"Corea del Sur [+]0,91623º1"
"Kuwait [+]0,80664º2"
"Kazajistán [+]0,82551º-2"
"Laos [+]0,613137º0"
"Líbano [+]0,74492º2"
"Santa Lucía [+]0,75986º0"
"Liechtenstein [+]0,91919º0"
"Sri Lanka [+]0,78272º0"
"Liberia [+]0,480175º2"
"Lesoto [+]0,527165º0"
"Lituania [+]0,88234º-1"
"Luxemburgo [+]0,91623º0"
"Letonia [+]0,86637º0"
"Libia [+]0,724105º-1"
"Marruecos [+]0,686121º0"
"Moldavia [+]0,75090º-1"
"Montenegro [+]0,82948º0"
"Madagascar [+]0,528164º1"
"Islas Marshall [+]0,704117º1"
"Macedonia del Norte [+]0,77482º0"
"Malí [+]0,434184º0"
"Birmania - Myanmar [+]0,583147º-1"
"Mongolia [+]0,73799º2"
"Mauritania [+]0,546157º0"
"Malta [+]0,89528º0"
"Mauricio [+]0,80466º0"
"Maldivas [+]0,74095º-3"
"Malaui [+]0,483174º0"
"México [+]0,77974º0"
"Malasia [+]0,81062º-1"
"Mozambique [+]0,456181º0"
"Namibia [+]0,646130º0"
"Níger [+]0,394189º0"
"Nigeria [+]0,539161º0"
"Nicaragua [+]0,660128º1"
"Países Bajos [+]0,9448º-1"
"Noruega [+]0,9571º0"
"Nepal [+]0,602142º-1"
"Nueva Zelanda [+]0,93114º0"
"Omán [+]0,81360º4"
"Panamá [+]0,81557º-1"
"Perú [+]0,77779º-1"
"Papúa Nueva Guinea [+]0,555155º-1"
"Filipinas [+]0,718107º-4"
"Pakistán [+]0,557154º0"
"Polonia [+]0,88035º1"
"Estado de Palestina [+]0,708115º1"
"Palaos [+]0,82650º-2"
"Paraguay [+]0,728103º-1"
"Catar [+]0,84845º0"
"Rumanía [+]0,82849º0"
"Serbia [+]0,80664º-1"
"Rusia [+]0,82452º3"
"Ruanda [+]0,543160º1"
"Arabia Saudita [+]0,85440º0"
"Islas Salomón [+]0,567151º0"
"Seychelles [+]0,79667º-2"
"Sudán [+]0,510170º-1"
"Suecia [+]0,9457º0"
"Singapur [+]0,93811º-1"
"Eslovenia [+]0,91722º-2"
"Eslovaquia [+]0,86039º0"
"Sierra Leona [+]0,452182º0"
"Senegal [+]0,512168º1"
"Surinam [+]0,73897º-1"
"Sudán del Sur [+]0,433185º-1"
"Santo Tomé y Príncipe [+]0,625135º0"
"El Salvador [+]0,673124º0"
"Siria [+]0,567151º-1"
"Suazilandia [+]0,611138º-1"
"Chad [+]0,398187º0"
"Togo [+]0,515167º-1"
"Tailandia [+]0,77779º1"
"Tayikistán [+]0,668125º-1"
"Timor Oriental [+]0,606141º0"
"Turkmenistán [+]0,715111º-1"
"Túnez [+]0,74095º1"
"Tonga [+]0,725104º-1"
"Turquía [+]0,82054º0"
"Trinidad y Tobago [+]0,79667º0"
"Tanzania [+]0,529163º-1"
"Ucrania [+]0,77974º-1"
"Uganda [+]0,544159º-1"
"Uruguay [+]0,81755º0"
"Uzbekistán [+]0,720106º-1"
"San Vicente y las Granadinas [+]0,73897º1"
"Venezuela [+]0,711113º12"
"Vietnam [+]0,704117º-1"
"Vanuatu [+]0,609140º0"
"Samoa [+]0,715111º-2"
"Yemen [+]0,470179º0"
"Sudáfrica [+]0,709114º-1"
"Zambia [+]0,584146º1"
"Zimbabue [+]0,571150º0"
